#options: 2560x1440 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2243 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:55 out:55 type:B dur:2 cpbdur:2 q:41.30 aq:43.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:54 out:56 type:b dur:2 cpbdur:2 q:41.61 aq:45.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:40.98 aq:44.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:39.44 aq:29.76 tex:24193 mv:1212 misc:5459 imb:0 pmb:1179 smb:13221 d:- ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:40.05 aq:42.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:40.35 aq:44.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:39.74 aq:43.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:38.68 aq:28.77 tex:42011 mv:1329 misc:6236 imb:0 pmb:1540 smb:12860 d:- ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:39.06 aq:41.00 tex:0 mv:0 misc:640 imb:0 pmb:0 smb:14400 d:- ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:39.25 aq:43.00 tex:0 mv:0 misc:624 imb:0 pmb:0 smb:14400 d:- ref:0 ;
